web-scraper-order,web-scraper-start-url,properties-href,price,address,selector,selector-href
1628468070-217,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/paardevlei/44-paardevlei-square/30-w-r-quinan-boulavard/T3257281,2 150 000,"Address: 44 paardevlei square, 30 w r quinan boulavard",,
1628467613-199,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/paardevlei/626-paardevlei-retirement-estate/de-beers-avenue/T2912043,2 250 000,"Address: 626 paardevlei retirement estate, de beers avenue",,
1628467791-206,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/de-velde/1194-de-velde/1-de-beers-avenue/T2913168,1 899 000,"Address: 1194 de velde, 1 de beers avenue",,
1628467408-192,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/paardevlei/626-paardevlei-sqaure/1-de-beers-avenue/T3286554,2 250 000,"Address: 626 paardevlei sqaure, 1 de beers avenue",2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2&page=2
1628466916-57,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/de-velde/T3327574,1 920 000,null,2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2&page=2
1628466617-46,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/de-velde/T3271962,1 595 000,null,3,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2&page=3
1628467740-204,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/briza/3-panorama/19-smuts/T3114439,1 990 000,"Address: 3 panorama, 19 smuts",,
1628467249-186,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/somerset-west-central/T3333390,1 300 000,null,2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2&page=2
1628466967-59,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/de-velde/T3210348,1 899 000,null,2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2&page=2
1628467842-208,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/de-velde/981-de-velde/5-de-beers-venue/T3326470,1 850 000,"Address: 981 de velde, 5 de beers venue",,
1628466567-44,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/de-velde/T3350386,1 820 000,null,3,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2&page=3
1628467766-205,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/de-velde/171-de-velde/5-de-beers-avenue/T3332608,1 920 000,"Address: 171 de velde, 5 de beers avenue",,
1628467198-184,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/somerset-west-central/T3233684,1 525 000,null,2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2&page=2
1628466668-48,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/paardevlei/T3232028,2 400 000,null,3,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2&page=3
1628467223-185,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/bridgewater/T3054801,1 390 000,null,2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2&page=2
1628466516-42,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/somerset-ridge/T2963721,1 900 000,null,3,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2&page=3
1628466744-51,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/paardevlei/T3271607,2 295 000,null,3,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2&page=3
1628467918-211,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/somerset-west-central/1186-de-velde/T3162445,1 670 000,Address: 1186 de velde,,
1628466465-40,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/somerset-park/T3265277,2 199 000,null,3,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2&page=3
1628466719-50,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/paardevlei/T2811396,Sold,null,3,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2&page=3
1628467562-197,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/paardevlei/648-paardevlei-retirement-estate/de-beers-avenue/T3036045,2 900 000,"Address: 648 paardevlei retirement estate, de beers avenue",,
1628466643-47,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/sitari/T3139523,2 699 000,null,3,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2&page=3
1628467689-202,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/paardevlei/421-the-jade/1-kimberley-close/T3357403,2 125 000,"Address: 421 the jade, 1 kimberley close",,
1628467486-194,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/briza/3231994-regent-park/63-regent-park-smuts-avenue/T3101222,1 400 000,"Address: 323/1994 regent park, 63 regent park smuts avenue",,
1628467377-191,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/paardevlei/paardevlei-square/1-quinan-boulevard/T3245283,2 045 000,"Address: paardevlei square, 1 quinan boulevard",2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2&page=2
1628466693-49,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/sitari/T3278453,2 400 000,null,3,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2&page=3
